FinancialYear,FY_StartYear,FY_EndYear,FY_StartDate,FY_EndDate,FY_Order
2009-10 ,2009,2010,2009-04-01,2010-03-31,2009
2010-11 ,2010,2011,2010-04-01,2011-03-31,2010
2011-12 ,2011,2012,2011-04-01,2012-03-31,2011
2012-13 ,2012,2013,2012-04-01,2013-03-31,2012
2013-14 ,2013,2014,2013-04-01,2014-03-31,2013
2014-15 ,2014,2015,2014-04-01,2015-03-31,2014
2015-16 ,2015,2016,2015-04-01,2016-03-31,2015
2016-17 ,2016,2017,2016-04-01,2017-03-31,2016
2017-18 ,2017,2018,2017-04-01,2018-03-31,2017
2018-19 ,2018,2019,2018-04-01,2019-03-31,2018
2019-20,2019,2020,2019-04-01,2020-03-31,2019
2020-21,2020,2021,2020-04-01,2021-03-31,2020
2021-22,2021,2022,2021-04-01,2022-03-31,2021
2022-23,2022,2023,2022-04-01,2023-03-31,2022
