Category breakdown,2019-20,2020-21 ,2021-22 ,2022-23
Total ,2357.355974,2741.67207,2949.272531,3053.663815
Infectious diseases Total ,34.255633,159.143637,144.710234,95.244088
Cancers & tumours Total ,190.339551,225.511743,228.855136,269.499642
Blood disorders Total ,27.590489,30.512427,43.683998,40.315677
"Endocrine, nutritional & metabolic problems Total ",88.371254,101.116789,113.791493,127.979636
Diabetes ,45.771969,47.561938,50.423602,54.272707
"Other endocrine, nutritional and metabolic problems ",42.599286,53.554851,63.367891,73.70693
Mental health problems Total ,257.86422,282.288586,300.363682,314.227955
General mental illness,114.742263,131.393182,137.78499,159.638746
Elderly mental illness ,90.832144,101.653108,94.096378,72.995973
Child & adolescent mental health services ,16.619565,9.301509,18.654176,20.750603
Other mental health problems ,35.670248,39.940789,49.828138,60.842632
Learning disability problems Total ,63.473676,76.321847,84.022201,100.717412
Neurological system problems Total ,108.328526,118.977842,124.152663,136.487223
Eye/vision problems Total ,62.514849,60.611462,64.932408,73.477223
Hearing problems Total ,16.023382,13.578522,15.749497,16.889257
Circulation problems Total ,193.088247,220.494053,228.79975,239.139045
Coronary Heart Disease ,32.909606,45.007518,38.519422,35.07572
Cerebrovascular disease ,35.731378,44.368233,42.78693,39.493213
Other problems of circulation,124.447263,131.118303,147.493398,164.570112
Respiratory problems Total ,153.195404,135.090115,151.157228,162.817558
Dental problems Total ,73.454749,74.936633,82.867995,85.496203
Gastro intestinal problems Total ,145.564732,156.906394,179.32157,191.62868
Skin problems Total ,51.112145,52.981697,57.575294,56.598306
Musculo skeletal system problems (exc Trauma) Total ,121.117967,113.720425,138.481979,141.772444
Trauma & injuries (inc burns) Total ,178.006866,216.221498,243.578816,242.987369
Genito Urinary system disorders (exc infertility) Total ,112.374242,108.235764,117.717465,126.610826
Genital tract problems ,27.962418,21.108233,30.804876,35.309122
Renal problems ,39.807512,41.205067,43.804001,40.410004
Chronic renal failure,0,0,0,0
Sexually transmitted infections,7.542884,9.424298,10.088085,11.304911
Other problems of the genito urinary system ,37.061428,36.498165,33.020503,39.586789
Maternity & reproductive health Total ,72.995757,116.319897,84.351873,91.272806
Neonates Total ,17.74223,17.686648,14.172335,15.435386
Poisoning Total ,24.403924,28.461793,28.544156,28.850932
Healthy individuals (includes Screening) Total ,49.940387,59.079391,94.352607,87.159269
Social care needs Total ,23.350926,32.813273,27.199958,27.229952
Other Total ,292.246817,340.661632,380.890194,381.826924
General medical services,140.180485,161.086644,176.608621,173.290883
Open access,25.650282,27.423301,23.909826,32.25474
Continuing care,56.077347,63.402085,72.700563,46.156528
Other PHW functions,26.559051,23.535091,35.066739,41.435056
Other expenditure,43.779653,65.214511,72.604445,88.689718
