Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 
Total ,100,100,100,100,100,100,100,100,100,100
Infectious diseases Total ,1.468459,1.549466,1.628735,1.452574,1.486848,1.404053,1.395382,1.373242,2.173927,1.500263
Cancers & tumours Total ,6.901109,6.203895,6.908338,7.029255,7.594382,7.60218,7.617181,7.495682,7.68155,8.028443
Blood disorders Total ,0.802988,0.693901,0.687306,0.631528,0.726688,0.794328,0.881558,0.865289,1.076948,1.035869
"Endocrine, nutritional & metabolic problems Total ",3.181336,3.251487,3.310027,3.46128,3.49753,3.673834,3.605377,3.617909,3.503353,3.73257
Diabetes ,1.579911,1.617237,1.690138,1.638988,1.704658,1.751399,1.724734,1.716154,1.75924,1.868224
"Other endocrine, nutritional and metabolic problems ",1.601424,1.63425,1.619889,1.822293,1.792872,1.922436,2.304163,1.901755,1.744113,1.864346
Mental health problems Total ,12.65109,12.395202,12.140781,12.033831,12.151884,12.40688,11.83879,11.904461,11.664233,11.072742
General mental illness ,5.657857,5.301353,5.628333,4.685787,4.799021,5.721314,5.182927,4.262453,5.0346,5.018563
Elderly mental illness ,4.338204,4.961065,4.49147,4.224536,3.963085,4.42555,4.402656,4.478904,4.008792,3.763494
Child & adolescent mental health services ,0.75583,0.776098,0.664543,0.433134,0.426906,0.567969,0.501597,0.511811,0.488878,0.576663
Other mental health problems ,1.899199,1.356686,1.356436,2.690373,2.962872,1.692047,1.751609,2.651293,2.131962,1.714021
Learning disability problems Total ,2.092186,2.063589,1.894875,2.130197,2.015776,2.170375,2.351813,2.287096,2.338353,2.535349
Neurological system problems Total ,2.999816,3.096586,2.92261,4.198411,4.414268,4.372707,4.710562,4.709443,4.37071,4.437342
Eye/vision problems Total ,2.367492,2.377877,2.328548,2.266002,2.329755,2.213348,2.216645,2.463104,2.492421,2.628383
Hearing problems Total ,0.542143,0.474811,0.601224,0.468112,0.496533,0.505639,0.590381,0.641674,0.65351,0.632894
Mental health problems Total ,8.381958,8.507165,8.569987,8.082471,7.749321,7.691807,7.539766,7.317715,7.333199,7.608817
Coronary Heart Disease ,3.301504,3.22383,3.095355,2.484626,2.027463,1.948561,1.698923,1.636884,1.611136,1.568093
Cerebrovascular disease ,1.328508,1.321226,1.350846,1.511183,1.673872,1.593656,1.515661,1.517076,1.406617,1.322861
Other problems of circulation,3.75203,3.962109,4.123786,4.086534,4.047986,4.14959,4.325183,4.163755,4.315446,4.717863
Respiratory problems Total ,6.427252,6.222756,6.515674,6.857271,6.727462,7.099334,7.070279,7.190701,6.79713,6.511252
Dental problems Total ,3.456024,4.325917,3.79463,3.677618,3.538012,3.423985,3.272989,3.1104,3.151995,3.254982
Gastro intestinal problems Total ,5.769409,5.491294,5.715084,5.322544,5.614485,5.703984,5.663766,6.195588,5.64497,5.895274
Skin problems Total ,1.890772,1.881831,2.003946,2.340264,2.269577,2.145593,2.114305,2.167446,2.127052,2.029563
Musculo skeletal system problems (exc Trauma) Total ,6.389429,6.34822,6.954424,6.205691,6.062095,5.881674,6.333587,6.376494,5.42725,5.361359
Trauma & injuries (inc burns) Total ,6.981851,6.70468,6.624184,7.524878,7.214839,7.573734,7.273518,7.010504,7.102206,7.188
Genito Urinary system disorders (exc infertility) Total ,4.477785,4.82719,4.948574,5.123366,5.38464,5.052837,5.181204,4.990541,4.680536,4.691679
Genital tract problems ,1.968462,1.904485,2.069518,1.243197,1.255382,1.102907,1.146163,1.187468,1.228766,1.144039
Renal problems ,0.26459,0.475626,0.374689,1.850214,1.992659,1.779724,1.638179,1.619376,1.555413,1.49474
Chronic renal failure,0.933888,1.02669,0.970638,0,0,0,0,0,0,0
Sexually transmitted infections,0,0,0,0.268257,0.306517,0.312463,0.39429,0.317908,0.252743,0.246676
Other problems of the genito urinary system ,1.310845,1.420388,1.533729,1.761699,1.830082,1.857743,2.002574,1.865789,1.643615,1.806224
Maternity & reproductive health Total ,3.316948,3.342829,3.300493,3.072463,3.119349,3.108523,2.995038,3.090464,3.467476,3.44519
Neonates Total ,0.856625,0.786507,0.851737,0.920864,0.953212,0.886454,0.731559,0.825042,0.968097,0.897013
Poisoning Total ,1.136322,1.062261,1.150049,1.086644,1.180615,1.161879,1.250678,1.399017,1.174352,1.083149
Healthy individuals (includes Screening) Total ,2.487333,2.432301,2.4322,1.918466,1.595974,1.543707,1.665076,2.1778,1.778751,2.011186
Social care needs Total ,1.172119,0.806548,0.750636,0.838447,0.818627,0.83736,0.89116,0.980911,0.960789,1.084236
Other Total ,14.24947,15.153688,13.965936,13.357823,13.05813,12.745783,12.809386,11.809476,13.431191,13.334444
General medical services ,6.949076,6.207566,6.272616,5.947108,5.996798,6.135878,6.042973,5.748972,6.319432,6.093992
Open access ,1.276419,1.423862,1.872433,1.739762,1.792109,1.747626,1.658984,1.810031,1.339733,1.29285
Continuing care ,2.898971,3.032791,2.384284,2.331429,1.596449,1.611509,1.64195,1.708096,2.518868,2.675884
Other PHW functions,0,0.46843,0.504573,0.855466,1.271625,1.268259,1.244645,0.959612,1.044374,1.094024
Other expenditure ,3.125005,4.021039,2.93203,2.484111,2.40115,1.982511,2.220833,1.582765,2.208785,2.177694
