Category breakdown,2019-20,2020-21,2021-22 ,2022-23 
Total ,100,100,100,100
Infectious diseases Total ,1.453138,5.80462,4.906642,3.11901
Cancers & tumours Total ,8.074281,8.225336,7.759715,8.825452
Blood disorders Total ,1.1704,1.112913,1.481179,1.32024
"Endocrine, nutritional & metabolic problems Total ",3.748745,3.688143,3.85829,4.191019
Diabetes ,1.941666,1.734779,1.709696,1.777298
"Other endocrine, nutritional and metabolic problems ",1.807079,1.953365,2.148594,2.413721
Mental health problems Total ,10.938705,10.29622,10.184331,10.290195
General mental illness ,4.867413,4.792447,4.67183,5.227777
Elderly mental illness ,3.853137,3.707705,3.190494,2.390439
Child & adolescent mental health services ,0.705009,0.339264,0.632501,0.679531
Other mental health problems ,1.513146,1.456804,1.689506,1.992447
Learning disability problems Total ,2.692579,2.78377,2.848913,3.298248
Neurological system problems Total ,4.59534,4.339609,4.209603,4.469622
Eye/vision problems Total ,2.651905,2.210748,2.201641,2.406199
Hearing problems Total ,0.679718,0.495264,0.534013,0.553082
Circulation problems Total ,8.190882,8.04232,7.757837,7.831217
Coronary Heart Disease ,1.396039,1.641608,1.306065,1.148644
Cerebrovascular disease ,1.51574,1.618291,1.450762,1.293306
Other problems of circulation,5.279104,4.782421,5.001009,5.389268
Respiratory problems Total ,6.498611,4.927289,5.125238,5.331876
Dental problems Total ,3.11598,2.733246,2.809777,2.799791
Gastro intestinal problems Total ,6.174915,5.723018,6.080197,6.275369
Skin problems Total ,2.168198,1.932459,1.952186,1.853456
Musculo skeletal system problems (exc Trauma) Total ,5.137873,4.147849,4.695462,4.6427
Trauma & injuries (inc burns) Total ,7.551124,7.886483,8.258946,7.95724
Genito Urinary system disorders (exc infertility) Total ,4.766961,3.947801,3.991407,4.146194
Genital tract problems ,1.186177,0.769904,1.044491,1.156287
Renal problems ,1.688651,1.502917,1.485248,1.323329
Chronic renal failure,0,0,0,0
Sexually transmitted infections,0.319972,0.343743,0.342053,0.370208
Other problems of the genito urinary system ,1.572161,1.331237,1.119615,1.29637
Maternity & reproductive health Total ,3.09651,4.242663,2.860091,2.988961
Neonates Total ,0.752633,0.645104,0.480537,0.505471
Poisoning Total ,1.035224,1.038118,0.967837,0.944797
Healthy individuals (includes Screening) Total ,2.118492,2.154867,3.199182,2.854252
Social care needs Total ,0.990556,1.196834,0.92226,0.891714
Other Total ,12.397229,12.425324,12.914717,12.503895
General medical services ,5.946513,5.875489,5.98821,5.674851
Open access ,1.088095,1.00024,0.810702,1.056264
Continuing care ,2.378824,2.312534,2.465034,1.511513
Other PHW functions,1.126646,0.858421,1.188996,1.356896
Other expenditure ,1.857151,2.37864,2.461775,2.904371
